longitude,latitude,potential
-121.834303,37.206117,3.98971574e+03
-121.861883,37.206505,5.24822453e+03
-121.870492,37.214474,6.11455455e+03
-121.858241,37.214726,5.99463461e+03
-121.962464,37.218941,3.99536596e+03
-121.856680,37.221154,6.79759054e+03
-121.846879,37.223716,7.45181377e+03
-121.764702,37.224334,3.06503270e+03
-121.983392,37.225860,4.46310825e+03
-121.784560,37.226568,4.62044339e+03
-121.891508,37.227493,7.92745957e+03
-121.771150,37.229135,3.78837009e+03
-121.876851,37.229629,1.01113670e+04
-121.929229,37.230647,6.04385981e+03
-121.809631,37.231591,9.08458583e+03
-121.823157,37.232688,8.14144425e+03
-121.978018,37.232806,4.99655024e+03
-121.797357,37.232978,6.89204696e+03
-121.766568,37.236852,3.96606426e+03
-121.896880,37.237476,1.03003435e+04
-121.835296,37.238794,1.30797084e+04
-121.933454,37.239843,8.10144986e+03
-121.810389,37.240326,8.29996699e+03
-121.825154,37.240936,1.08300030e+04
-121.844472,37.241084,1.54367628e+04
-121.956353,37.241125,6.74163026e+03
-121.912931,37.242322,8.03411166e+03
-121.983585,37.243028,6.19084249e+03
-121.853150,37.244781,1.22425329e+04
-121.880685,37.245365,1.38387953e+04
-121.863443,37.246029,1.46140061e+04
-122.027053,37.247040,3.97663012e+03
-121.935970,37.247060,1.00114871e+04
-121.815835,37.247895,1.42954296e+04
-121.901193,37.248208,1.27990479e+04
-121.786204,37.248858,5.21519277e+03
-121.884511,37.251692,1.51072318e+04
-121.964368,37.251817,8.10444309e+03
-121.859914,37.252780,1.71927226e+04
-121.812549,37.254846,1.07569580e+04
-121.825166,37.255101,1.27463747e+04
-121.837650,37.255372,1.11058099e+04
-121.922105,37.255465,1.09566018e+04
-121.887144,37.256899,1.55859019e+04
-121.778697,37.258020,6.59737978e+03
-121.982203,37.258309,7.97105702e+03
-121.942782,37.258579,9.59523233e+03
-121.908748,37.259275,1.28760601e+04
-121.864269,37.260659,1.61760677e+04
-122.007747,37.261266,6.58135398e+03
-121.851259,37.261670,1.43742151e+04
-121.805682,37.261878,1.31654584e+04
-121.823632,37.263571,1.14111046e+04
-121.897417,37.263641,1.64055592e+04
-121.968051,37.264720,1.19937997e+04
-121.813658,37.265625,1.54751370e+04
-121.885942,37.266913,1.60246245e+04
-121.865127,37.269753,1.59883876e+04
-122.041379,37.270079,5.13881580e+03
-121.937692,37.271048,1.52577615e+04
-121.845376,37.271221,1.91054305e+04
-121.978167,37.271224,1.25840293e+04
-121.927311,37.271599,1.47670039e+04
-121.814603,37.272208,1.75763422e+04
-121.835940,37.273003,1.69285004e+04
-121.915390,37.273284,1.60997233e+04
-121.962772,37.273802,1.38233783e+04
-122.024028,37.274438,6.43983790e+03
-121.887985,37.276440,1.81713140e+04
-121.904678,37.277340,1.84125545e+04
-121.852519,37.277348,1.82394102e+04
-121.818264,37.280211,1.48119606e+04
-121.986266,37.280511,1.15209913e+04
-121.829662,37.280669,1.55734175e+04
-121.999122,37.280795,1.02925233e+04
-121.936623,37.282147,1.89389766e+04
-121.969748,37.282166,1.54255829e+04
-121.873665,37.282178,1.72918436e+04
-121.744115,37.283602,3.25635356e+03
-121.892290,37.284049,1.80994421e+04
-121.954081,37.284587,1.52491791e+04
-121.779333,37.285936,6.86882685e+03
-121.830206,37.287207,2.01359957e+04
