longitude,latitude,potential
-73.951211,40.778812,1.96221365e+06
-73.952159,40.777142,1.77958369e+06
-73.955910,40.778746,1.72127228e+06
-73.959255,40.780312,1.37296199e+06
-73.957595,40.782196,1.34675138e+06
-73.955044,40.785876,1.28424070e+06
-73.952153,40.784177,1.32779129e+06
-73.950287,40.786339,1.52554434e+06
-73.947491,40.785510,1.86552228e+06
-73.948322,40.789314,1.17250383e+06
-73.951064,40.791259,1.01382950e+06
-73.953591,40.787836,1.26748487e+06
-73.959844,40.790250,5.86162675e+05
-73.967756,40.792643,1.15882168e+06
-73.966272,40.794324,1.14792475e+06
-73.970890,40.797539,1.00406668e+06
-73.972766,40.795045,9.30425537e+05
-73.969444,40.790276,1.01988569e+06
-73.974391,40.792594,9.68854649e+05
-73.971244,40.787689,9.49662037e+05
-73.961303,40.777340,1.14683528e+06
-73.957883,40.776129,1.26930318e+06
-73.953901,40.774764,1.36112136e+06
-73.948902,40.772867,1.21107496e+06
-73.947687,40.775326,1.46754497e+06
-73.946446,40.776953,1.45455773e+06
-73.945503,40.779779,1.21802617e+06
-73.949176,40.781416,1.18664295e+06
-73.954397,40.781176,1.23801190e+06
