longitude,latitude,potential
-87.647034,41.942830,5.19668542e+05
-87.651583,41.942945,3.31946625e+05
-87.653646,41.946272,4.00989043e+05
-87.646811,41.946435,3.05650107e+05
-87.652158,41.949469,2.84777663e+05
-87.652795,41.952397,3.13769055e+05
-87.656966,41.949518,2.85295475e+05
-87.661489,41.949129,3.18842361e+05
-87.661520,41.945462,2.66230096e+05
-87.656674,41.942525,3.03469347e+05
-87.661507,41.941775,2.76718817e+05
-87.666099,41.941689,2.94892061e+05
-87.668457,41.945125,2.50657477e+05
-87.675990,41.945024,2.53239186e+05
-87.671148,41.941474,2.44037401e+05
-87.671285,41.936396,2.25837092e+05
-87.666101,41.936255,2.25290641e+05
-87.661266,41.936186,2.49963682e+05
-87.656363,41.936443,2.64423611e+05
-87.651536,41.935940,3.18755223e+05
-87.646807,41.934914,4.72629659e+05
-87.646075,41.929115,3.78826573e+05
-87.643009,41.934278,3.45819269e+05
-87.646710,41.938443,3.20461340e+05
-87.640784,41.938308,2.36809673e+05
-87.641151,41.942590,2.93268398e+05
-87.637296,41.934533,2.88095547e+05
-87.640200,41.929595,3.78918182e+05
-87.642253,41.930823,3.12198859e+05
-87.639752,41.934842,2.63287009e+05
