longitude,latitude,potential
-71.076627,42.345405,4.51479288e+05
-71.080021,42.347137,3.79137619e+05
-71.083717,42.344351,3.75946110e+05
-71.088222,42.345058,4.02363959e+05
-71.085973,42.351319,3.39703745e+05
-71.088437,42.352766,2.68489189e+05
-71.093136,42.349630,2.65301498e+05
-71.097828,42.343820,2.87109832e+05
-71.095836,42.343222,2.00841559e+05
-71.090744,42.340404,3.88742069e+05
-71.088965,42.341801,2.83902176e+05
-71.080808,42.340990,2.90283307e+05
-71.078070,42.338278,3.35653965e+05
-71.075359,42.343262,3.16392833e+05
-71.072034,42.342054,3.11578141e+05
-71.067567,42.345723,2.12266747e+05
-71.070580,42.347813,2.11315105e+05
-71.069065,42.358004,2.46561602e+05
-71.067802,42.360217,2.30546791e+05
-71.064110,42.360076,2.67559960e+05
-71.056738,42.364702,2.38423804e+05
-71.064449,42.365052,2.20514067e+05
-71.067041,42.364142,1.96179919e+05
-71.073346,42.370314,1.17190009e+05
-71.079403,42.369588,1.19112257e+05
-71.076937,42.354065,2.15777863e+05
-71.083798,42.350054,2.51958629e+05
-71.076633,42.352338,2.05868239e+05
