longitude,latitude,potential
-75.158473,39.941872,4.06137843e+05
-75.157126,39.944439,3.56037041e+05
-75.156600,39.947286,3.49031203e+05
-75.162220,39.947856,3.30681928e+05
-75.159432,39.949785,3.25472342e+05
-75.167620,39.948465,3.24654059e+05
-75.173389,39.951198,3.21855858e+05
-75.174459,39.949366,3.25467137e+05
-75.169824,39.945991,3.12866694e+05
-75.162472,39.945150,2.95369430e+05
-75.158603,39.939899,3.24245921e+05
-75.162578,39.934849,2.92672488e+05
-75.170320,39.936304,2.92227249e+05
-75.172694,39.940424,3.30751283e+05
-75.172070,39.943020,2.89627851e+05
-75.178788,39.947009,2.71141702e+05
-75.179336,39.949988,2.87219637e+05
-75.176056,39.953664,2.29115644e+05
-75.171069,39.953830,2.73580022e+05
-75.174162,39.957194,2.30665184e+05
-75.175846,39.966185,1.83382099e+05
-75.178837,39.968975,1.91558248e+05
-75.179589,39.971541,1.84433095e+05
-75.176991,39.976180,1.54184741e+05
-75.171538,39.975821,2.32346940e+05
-75.169930,39.969803,1.48882420e+05
-75.169187,39.965342,1.81273127e+05
-75.171517,39.961278,1.68969161e+05
-75.156953,39.960125,1.50485659e+05
-75.156331,39.955497,1.67980169e+05
-75.155759,39.952342,2.14676970e+05
-75.151562,39.945137,1.64990849e+05
-75.147684,39.940081,2.28534613e+05
-75.148850,39.937880,1.83850985e+05
-75.158218,39.936424,2.85218467e+05
-75.156823,39.929004,2.93232062e+05
-75.161189,39.928915,2.84541290e+05
-75.165883,39.930296,2.88788802e+05
-75.171006,39.932687,3.02465351e+05
-75.176956,39.936855,2.74779503e+05
-75.177854,39.931756,2.32480225e+05
-75.172086,39.929034,2.37960997e+05
-75.173467,39.923669,2.08740047e+05
-75.165524,39.923816,1.89917779e+05
-75.159196,39.922821,1.83975371e+05
-75.153958,39.928416,2.68245667e+05
-75.149694,39.927656,2.31571387e+05
-75.150000,39.934394,1.93421879e+05
