longitude,latitude,potential
-121.834303,37.206117,2.44917942e+03
-121.861883,37.206505,3.12897405e+03
-121.870492,37.214474,3.76604714e+03
-121.858241,37.214726,4.03657253e+03
-121.962464,37.218941,2.70355606e+03
-121.856680,37.221154,4.01556324e+03
-121.846879,37.223716,4.17938637e+03
-121.764702,37.224334,1.98651487e+03
-121.983392,37.225860,3.07120066e+03
-121.784560,37.226568,2.40097254e+03
-121.891508,37.227493,4.53193644e+03
-121.771150,37.229135,2.37021116e+03
-121.876851,37.229629,5.55517733e+03
-121.929229,37.230647,3.88465690e+03
-121.809631,37.231591,4.55760123e+03
-121.823157,37.232688,4.57216207e+03
-121.978018,37.232806,3.55663537e+03
-121.797357,37.232978,4.01773592e+03
-121.766568,37.236852,2.27061889e+03
-121.896880,37.237476,5.86303117e+03
-121.835296,37.238794,5.67321434e+03
-121.933454,37.239843,5.03812048e+03
-121.810389,37.240326,4.41207021e+03
-121.825154,37.240936,4.67963810e+03
-121.844472,37.241084,6.87224606e+03
-121.956353,37.241125,4.14609447e+03
-121.912931,37.242322,5.53298923e+03
-121.983585,37.243028,3.98333591e+03
-121.853150,37.244781,5.86520981e+03
-121.880685,37.245365,7.73652367e+03
-121.863443,37.246029,7.40370496e+03
-122.027053,37.247040,2.77753558e+03
-121.935970,37.247060,6.17811894e+03
-121.815835,37.247895,6.61522184e+03
-121.901193,37.248208,7.21634344e+03
-121.786204,37.248858,3.74001834e+03
-121.884511,37.251692,9.20999799e+03
-121.964368,37.251817,5.08923150e+03
-121.859914,37.252780,9.21046819e+03
-121.812549,37.254846,5.68793668e+03
-121.825166,37.255101,5.78046846e+03
-121.837650,37.255372,5.31202220e+03
-121.922105,37.255465,6.53863441e+03
-121.887144,37.256899,9.10000769e+03
-121.778697,37.258020,3.72340115e+03
-121.982203,37.258309,4.84082405e+03
-121.942782,37.258579,6.00087702e+03
-121.908748,37.259275,7.44409509e+03
-121.864269,37.260659,8.51992652e+03
-122.007747,37.261266,4.39236706e+03
-121.851259,37.261670,6.99657978e+03
-121.805682,37.261878,7.71956093e+03
-121.823632,37.263571,5.38212396e+03
-121.897417,37.263641,9.60634231e+03
-121.968051,37.264720,6.62748105e+03
-121.813658,37.265625,7.62778822e+03
-121.885942,37.266913,9.79442264e+03
-121.865127,37.269753,8.57419627e+03
-122.041379,37.270079,3.42343268e+03
-121.937692,37.271048,8.46929814e+03
-121.845376,37.271221,9.01235972e+03
-121.978167,37.271224,7.12939231e+03
-121.927311,37.271599,9.11064549e+03
-121.814603,37.272208,8.06258734e+03
-121.835940,37.273003,7.86018459e+03
-121.915390,37.273284,8.66553690e+03
-121.962772,37.273802,7.84558957e+03
-122.024028,37.274438,4.35303380e+03
-121.887985,37.276440,1.09827403e+04
-121.904678,37.277340,1.08782267e+04
-121.852519,37.277348,1.03231369e+04
-121.818264,37.280211,6.83929150e+03
-121.986266,37.280511,6.75427605e+03
-121.829662,37.280669,8.30225545e+03
-121.999122,37.280795,5.27740192e+03
-121.936623,37.282147,1.05345116e+04
-121.969748,37.282166,8.66225749e+03
-121.873665,37.282178,1.01958144e+04
-121.744115,37.283602,2.18142473e+03
-121.892290,37.284049,1.09897337e+04
-121.954081,37.284587,8.96703131e+03
-121.779333,37.285936,4.08739607e+03
-121.830206,37.287207,1.02048010e+04
-121.945131,37.287227,8.46094543e+03
-121.927438,37.287717,8.68258524e+03
-122.018707,37.288645,6.05152318e+03
-122.310176,37.288812,3.46320410e+02
-121.860980,37.288866,1.03343715e+04
-121.839550,37.289215,9.46134507e+03
-121.823946,37.289236,1.04942471e+04
-121.914492,37.290388,1.02227630e+04
-121.970167,37.290453,1.15724554e+04
-121.981687,37.292957,9.57517652e+03
-121.891382,37.294078,1.26063305e+04
-121.759644,37.294500,3.78002077e+03
-121.816254,37.296178,1.09726751e+04
-121.969589,37.296961,1.21004948e+04
-121.920893,37.298011,1.32219244e+04
-121.877713,37.298200,1.24837943e+04
-121.954860,37.298471,9.90830447e+03
-121.845831,37.299730,1.19966475e+04
-121.990038,37.300368,9.04262718e+03
-121.906787,37.300819,1.20103975e+04
-121.809995,37.301190,7.88933015e+03
-121.788215,37.301198,6.00503319e+03
-121.946248,37.301363,1.06987962e+04
-121.837590,37.301446,1.22815658e+04
